customer_id,customer_name,city,product,quantity,price,order_date
C001,Namrata,Bangalore,Laptop,1,55000,10-01-2024
C002,Ravi,Mumbai,Mobile,2,15000,11-01-2024
C003,Priya,Delhi,Tablet,1,25000,12-01-2024
C004,Suresh,Chennai,Laptop,1,60000,13-01-2024
C005,Anjali,Pune,Mobile,3,12000,14-01-2024
C006,Kiran,Hyderabad,Headphones,2,3000,15-01-2024
C007,Deepa,Bangalore,Tablet,1,22000,16-01-2024
C008,Mahesh,Mumbai,Laptop,2,55000,17-01-2024
C011,Mallikarjun,Bangalore,Laptop,2,55000,20-01-2024
C012,Pavitra,Mysore,Mobile,1,20000,21-01-2024
C013,Lokesh,Hubli,Tablet,2,25000,22-01-2024
C014,Saroja,Belgaum,Headphones,1,3000,23-01-2024
C015,Chandrashekhar,Dharwad,Laptop,1,62000,24-01-2024
C016,Virat,Bangalore,Mobile,2,18000,25-01-2024
C017,Saku,Mangalore,Tablet,1,23000,26-01-2024
C001,Namrata,Bangalore,Laptop,1,55000,10-01-2024
16,16,16,16,16,16,16
